time,lat,lon,depth,chla_acs
43583.37222,26.854946,-157.998414,6,0.087286
43583.37153,26.854897,-157.998445,6,0.086807
43583.37083,26.854836,-157.998418,6,0.08272
43583.37014,26.854755,-157.998391,6,0.083113
43583.36944,26.85472,-157.998885,6,0.082104
43583.36875,26.855256,-157.999724,6,0.081746
43583.36806,26.856147,-158.000123,6,0.081291
43583.36736,26.85715,-158.000289,6,0.085163
43583.36667,26.858589,-158.000225,6,0.079824
43583.36597,26.860735,-158.000132,6,0.07719
43583.36528,26.863699,-158.000324,6,0.079666
43583.36458,26.866812,-158.000423,6,0.080626
43583.36389,26.869931,-158.000521,6,0.084371
43583.36319,26.873043,-158.000686,6,0.085929
43583.3625,26.87612,-158.000905,6,0.085133
43583.36181,26.879173,-158.001211,6,0.084057
43583.36111,26.882226,-158.001548,6,0.087241
43583.36042,26.885257,-158.001941,6,0.083738
43583.35972,26.888301,-158.002253,6,0.083061
43583.35903,26.891349,-158.002363,6,0.082488
43583.35833,26.894425,-158.002352,6,0.086891
43583.35764,26.897519,-158.002362,6,0.087405
43583.35694,26.900621,-158.002309,6,0.082303
43583.35625,26.903723,-158.002199,6,0.082093
43583.35556,26.906837,-158.002042,6,0.086564
43583.35486,26.909963,-158.001936,6,0.087519
43583.35417,26.913095,-158.001859,6,0.082056
43583.35347,26.91625,-158.001749,6,0.082819
43583.35278,26.919388,-158.001702,6,0.083343
43583.35208,26.922578,-158.001603,6,0.08137
43583.35139,26.925769,-158.001471,6,0.081093
43583.35069,26.928971,-158.00142,6,0.077628
43583.35,26.932179,-158.001298,6,0.082454
43583.34931,26.935392,-158.00114,6,0.081133
43583.34861,26.938598,-158.001114,6,0.081148
43583.34792,26.941789,-158.001007,6,0.078832
43583.34722,26.944969,-158.000718,6,0.079067
43583.34653,26.948145,-158.000509,6,0.077681
43583.34583,26.951367,-158.000327,6,0.077836
43583.34514,26.954524,-158.000134,6,0.078591
43583.34444,26.957733,-158.000114,6,0.078613
43583.34375,26.960909,-158.000017,6,0.078757
43583.34306,26.964063,-158.000018,6,0.079412
43583.34236,26.967221,-158.00002,6,0.079534
43583.34167,26.970386,-157.999915,6,0.078467
43583.34097,26.973537,-157.999934,6,0.08252
43583.34028,26.976687,-157.999875,6,0.078883
43583.33264,27.011706,-157.999642,6,0.082904
43583.33194,27.014885,-157.9996,6,0.083312
43583.33125,27.018111,-157.99954,6,0.082949
